frame,landmark0_x,landmark0_y,landmark0_z,landmark0_visibility,landmark1_x,landmark1_y,landmark1_z,landmark1_visibility,landmark2_x,landmark2_y,landmark2_z,landmark2_visibility,landmark3_x,landmark3_y,landmark3_z,landmark3_visibility,landmark4_x,landmark4_y,landmark4_z,landmark4_visibility,landmark5_x,landmark5_y,landmark5_z,landmark5_visibility,landmark6_x,landmark6_y,landmark6_z,landmark6_visibility,landmark7_x,landmark7_y,landmark7_z,landmark7_visibility,landmark8_x,landmark8_y,landmark8_z,landmark8_visibility,landmark9_x,landmark9_y,landmark9_z,landmark9_visibility,landmark10_x,landmark10_y,landmark10_z,landmark10_visibility,landmark11_x,landmark11_y,landmark11_z,landmark11_visibility,landmark12_x,landmark12_y,landmark12_z,landmark12_visibility,landmark13_x,landmark13_y,landmark13_z,landmark13_visibility,landmark14_x,landmark14_y,landmark14_z,landmark14_visibility,landmark15_x,landmark15_y,landmark15_z,landmark15_visibility,landmark16_x,landmark16_y,landmark16_z,landmark16_visibility,landmark17_x,landmark17_y,landmark17_z,landmark17_visibility,landmark18_x,landmark18_y,landmark18_z,landmark18_visibility,landmark19_x,landmark19_y,landmark19_z,landmark19_visibility,landmark20_x,landmark20_y,landmark20_z,landmark20_visibility,landmark21_x,landmark21_y,landmark21_z,landmark21_visibility,landmark22_x,landmark22_y,landmark22_z,landmark22_visibility,landmark23_x,landmark23_y,landmark23_z,landmark23_visibility,landmark24_x,landmark24_y,landmark24_z,landmark24_visibility,landmark25_x,landmark25_y,landmark25_z,landmark25_visibility,landmark26_x,landmark26_y,landmark26_z,landmark26_visibility,landmark27_x,landmark27_y,landmark27_z,landmark27_visibility,landmark28_x,landmark28_y,landmark28_z,landmark28_visibility,landmark29_x,landmark29_y,landmark29_z,landmark29_visibility,landmark30_x,landmark30_y,landmark30_z,landmark30_visibility,landmark31_x,landmark31_y,landmark31_z,landmark31_visibility,landmark32_x,landmark32_y,landmark32_z,landmark32_visibility
0,0.368727,0.483846,-0.187123,0.993947,0.360012,0.473514,-0.176692,0.981837,0.360163,0.466948,-0.176964,0.978506,0.360258,0.461082,-0.176946,0.984837,0.360962,0.493110,-0.176500,0.989125,0.361282,0.498624,-0.176823,0.989035,0.361672,0.503968,-0.176978,0.991784,0.365739,0.456039,-0.112097,0.981705,0.366315,0.512059,-0.108845,0.979381,0.377266,0.469652,-0.159650,0.964278,0.377203,0.492076,-0.160706,0.969473,0.404271,0.414320,-0.092623,0.997072,0.406540,0.543733,-0.087457,0.995554,0.336531,0.384541,-0.178837,0.727630,0.348821,0.589740,-0.165712,0.765272,0.270903,0.381853,-0.259336,0.699375,0.279331,0.631396,-0.235977,0.872583,0.254244,0.380450,-0.285731,0.675063,0.265964,0.633486,-0.263636,0.834352,0.252993,0.389445,-0.290756,0.690322,0.262294,0.625352,-0.267392,0.835768,0.257996,0.394048,-0.265567,0.694394,0.266959,0.622923,-0.243969,0.845135,0.539154,0.435366,0.002202,0.999744,0.538241,0.520751,-0.002404,0.999768,0.637282,0.417116,0.019509,0.711505,0.634374,0.538435,-0.003096,0.725493,0.732696,0.403938,0.095559,0.885754,0.732109,0.557568,0.048066,0.907517,0.747340,0.416630,0.095889,0.576140,0.748855,0.546787,0.048206,0.565606,0.763931,0.372015,-0.001823,0.851590,0.760634,0.585361,-0.049537,0.851257
1,0.368480,0.482887,-0.175467,0.994196,0.360028,0.471754,-0.164990,0.982651,0.360176,0.465317,-0.165292,0.979629,0.360305,0.460235,-0.165278,0.985532,0.361052,0.491438,-0.166292,0.989531,0.361557,0.497318,-0.166607,0.989522,0.362143,0.503147,-0.166755,0.992049,0.365750,0.454574,-0.104522,0.982761,0.366570,0.512058,-0.107116,0.980361,0.377260,0.468856,-0.149967,0.966216,0.377193,0.490383,-0.153067,0.971043,0.404254,0.412908,-0.092499,0.997239,0.407032,0.543314,-0.091124,0.995728,0.337577,0.382687,-0.180543,0.750088,0.348910,0.588587,-0.183404,0.781131,0.270907,0.380929,-0.266349,0.724069,0.280163,0.629822,-0.254542,0.881542,0.254685,0.378412,-0.291501,0.700557,0.266160,0.633278,-0.282124,0.845531,0.253105,0.387962,-0.297139,0.714756,0.262287,0.625011,-0.285824,0.846833,0.258643,0.393472,-0.272751,0.718674,0.266979,0.622250,-0.262827,0.855747,0.540346,0.434659,0.003966,0.999751,0.539600,0.520187,-0.004186,0.999771,0.636552,0.416293,0.030992,0.737139,0.634375,0.538259,-0.019482,0.748660,0.732186,0.403763,0.100983,0.895795,0.731946,0.558221,0.022835,0.915228,0.747326,0.414362,0.100401,0.608200,0.748777,0.547361,0.021528,0.595527,0.760760,0.372561,0.005433,0.863976,0.760136,0.585163,-0.076849,0.862936
2,0.368443,0.482100,-0.213503,0.994611,0.360086,0.470377,-0.202936,0.983933,0.360209,0.463966,-0.203244,0.981188,0.360341,0.458958,-0.203224,0.986596,0.361208,0.490247,-0.203502,0.990266,0.361849,0.496399,-0.203819,0.990274,0.362554,0.502295,-0.203961,0.992574,0.365732,0.452293,-0.138827,0.984074,0.366839,0.511161,-0.138936,0.981675,0.377265,0.467738,-0.186438,0.968601,0.377244,0.489069,-0.188595,0.972990,0.404096,0.409732,-0.123705,0.997412,0.407492,0.540341,-0.121079,0.995882,0.337566,0.380250,-0.216459,0.770618,0.348949,0.586836,-0.214781,0.791998,0.270638,0.379275,-0.299447,0.745920,0.280809,0.626646,-0.287735,0.887146,0.254685,0.377046,-0.324389,0.722613,0.266372,0.630830,-0.316938,0.851894,0.253015,0.386189,-0.330671,0.735947,0.262384,0.623729,-0.320456,0.853090,0.258652,0.391667,-0.305820,0.739794,0.267224,0.620669,-0.296198,0.862256,0.540411,0.432236,0.004831,0.999753,0.539763,0.518454,-0.005033,0.999771,0.635312,0.415639,0.039322,0.756002,0.634338,0.538110,-0.028311,0.767862,0.731367,0.403393,0.119457,0.902555,0.731989,0.558405,0.010139,0.921477,0.747025,0.412329,0.119571,0.624911,0.749013,0.547383,0.008141,0.618339,0.758963,0.373583,0.022477,0.872046,0.759977,0.585289,-0.094246,0.872102
3,0.368373,0.480864,-0.205345,0.994859,0.360084,0.468707,-0.194832,0.984698,0.360201,0.462590,-0.195128,0.982198,0.360341,0.457422,-0.195108,0.987234,0.361217,0.488870,-0.195174,0.990672,0.361903,0.495211,-0.195493,0.990734,0.362659,0.501179,-0.195640,0.992847,0.365651,0.450391,-0.131373,0.984954,0.366908,0.509718,-0.130484,0.982484,0.377240,0.466473,-0.178309,0.970168,0.377248,0.487454,-0.180136,0.974235,0.404028,0.406427,-0.116186,0.997541,0.407625,0.537773,-0.114195,0.996002,0.337595,0.377606,-0.208676,0.787595,0.349064,0.584541,-0.206879,0.801347,0.270645,0.376994,-0.292302,0.764235,0.281375,0.624146,-0.281304,0.892547,0.254682,0.373765,-0.317541,0.741357,0.266667,0.628153,-0.310178,0.858645,0.252946,0.383174,-0.323254,0.753999,0.262538,0.621507,-0.313480,0.859789,0.258766,0.388957,-0.298572,0.757863,0.267442,0.618038,-0.289609,0.868970,0.540401,0.430136,0.005480,0.999754,0.539793,0.517071,-0.005683,0.999770,0.634923,0.415066,0.036185,0.772919,0.634379,0.537909,-0.027400,0.783900,0.731236,0.403373,0.114065,0.909147,0.731991,0.558407,0.013738,0.926690,0.747010,0.411865,0.114379,0.643421,0.749013,0.547488,0.012201,0.636140,0.758594,0.374414,0.017382,0.879939,0.759650,0.583287,-0.089575,0.879621
4,0.368120,0.479318,-0.197897,0.994850,0.359928,0.466630,-0.190229,0.984809,0.360005,0.460863,-0.190551,0.982414,0.360213,0.455397,-0.190535,0.987347,0.361079,0.486894,-0.190812,0.990657,0.361830,0.492903,-0.191139,0.990757,0.362622,0.498496,-0.191298,0.992812,0.365457,0.448296,-0.127851,0.985188,0.366900,0.506554,-0.126717,0.982582,0.377011,0.464753,-0.175290,0.970535,0.377081,0.485431,-0.177589,0.974431,0.404036,0.403914,-0.114251,0.997594,0.407664,0.536139,-0.111379,0.996021,0.337362,0.373998,-0.205114,0.797745,0.349041,0.582382,-0.200569,0.807310,0.270570,0.374763,-0.285887,0.774726,0.282278,0.620764,-0.271309,0.894491,0.254681,0.370733,-0.311224,0.751591,0.267128,0.625137,-0.300847,0.860884,0.252921,0.380314,-0.316773,0.764040,0.263038,0.619043,-0.305175,0.862154,0.258800,0.386562,-0.292122,0.768138,0.268102,0.615333,-0.279670,0.871415,0.540402,0.428152,0.005454,0.999753,0.539823,0.514948,-0.005656,0.999768,0.634539,0.414288,0.036261,0.777764,0.634352,0.537408,-0.023959,0.791021,0.731049,0.403376,0.111852,0.910318,0.731900,0.558490,0.020025,0.928818,0.746863,0.411769,0.112083,0.645679,0.748803,0.547749,0.018940,0.642288,0.758641,0.375549,0.020393,0.881736,0.759646,0.582070,-0.085388,0.883024
5,0.368000,0.477706,-0.216167,0.994911,0.359810,0.464804,-0.208583,0.985057,0.359876,0.459230,-0.208895,0.982744,0.360148,0.453647,-0.208876,0.987559,0.360990,0.485089,-0.209169,0.990772,0.361782,0.491078,-0.209504,0.990895,0.362589,0.496432,-0.209666,0.992891,0.365373,0.446970,-0.150853,0.985429,0.366881,0.504456,-0.150901,0.982757,0.376961,0.463464,-0.191391,0.971014,0.377039,0.483922,-0.193620,0.974788,0.404404,0.403513,-0.134357,0.997626,0.407754,0.535148,-0.129639,0.996005,0.337208,0.370979,-0.219239,0.803692,0.348877,0.581356,-0.211280,0.811019,0.270499,0.372300,-0.295323,0.779326,0.282240,0.618140,-0.272114,0.894191,0.254546,0.368736,-0.319939,0.755489,0.267117,0.622283,-0.299574,0.859751,0.252762,0.378042,-0.326070,0.768144,0.263037,0.616117,-0.303206,0.861280,0.258818,0.383878,-0.301556,0.772547,0.268102,0.612559,-0.280204,0.870749,0.540389,0.426592,0.005405,0.999745,0.539824,0.513060,-0.005607,0.999763,0.633658,0.413552,0.035801,0.772635,0.634346,0.536966,-0.019100,0.792074,0.730061,0.403125,0.115108,0.904450,0.731891,0.558833,0.021288,0.928565,0.745944,0.411238,0.115997,0.632921,0.748786,0.549622,0.020645,0.640254,0.758342,0.375941,0.026829,0.875596,0.759633,0.581653,-0.079823,0.882088
6,0.367906,0.476607,-0.240136,0.995082,0.359759,0.463783,-0.231689,0.985637,0.359820,0.458420,-0.232006,0.983443,0.360117,0.452856,-0.231987,0.988044,0.360914,0.484038,-0.232451,0.991090,0.361727,0.490057,-0.232790,0.991223,0.362543,0.495439,-0.232957,0.993111,0.365304,0.446342,-0.169998,0.986011,0.366853,0.503475,-0.171191,0.983262,0.376910,0.462668,-0.213239,0.972087,0.377010,0.482865,-0.215714,0.975643,0.404595,0.403221,-0.148186,0.997666,0.407794,0.534946,-0.146724,0.996013,0.337003,0.369147,-0.231177,0.811864,0.348293,0.580656,-0.228346,0.818950,0.270482,0.368264,-0.309463,0.786035,0.281251,0.616150,-0.288244,0.896292,0.254566,0.365759,-0.334820,0.761009,0.266630,0.620186,-0.315956,0.861073,0.252760,0.374600,-0.341634,0.773518,0.262777,0.613854,-0.320045,0.862679,0.258823,0.379812,-0.316038,0.778260,0.267793,0.610365,-0.296522,0.872294,0.540382,0.425519,0.005403,0.999749,0.539939,0.512199,-0.005607,0.999767,0.633417,0.412557,0.036056,0.783260,0.634533,0.536683,-0.016055,0.803059,0.729955,0.403109,0.120362,0.908422,0.731861,0.558873,0.028503,0.932478,0.745892,0.411285,0.121469,0.642273,0.748781,0.549791,0.027686,0.653335,0.758450,0.375707,0.028690,0.879773,0.759637,0.583798,-0.073912,0.887335
7,0.367559,0.475410,-0.249354,0.995396,0.359494,0.462666,-0.239370,0.986577,0.359562,0.457405,-0.239687,0.984566,0.359930,0.451745,-0.239669,0.988809,0.360628,0.482721,-0.240823,0.991659,0.361542,0.488885,-0.241155,0.991809,0.362419,0.494248,-0.241322,0.993536,0.365081,0.445412,-0.172887,0.986969,0.366838,0.502528,-0.177283,0.984352,0.376480,0.461573,-0.220898,0.973869,0.376753,0.482185,-0.224275,0.977165,0.404658,0.402626,-0.146675,0.997752,0.407893,0.534430,-0.155315,0.996163,0.336584,0.367664,-0.229997,0.822900,0.348468,0.580090,-0.243011,0.829653,0.270252,0.365555,-0.314742,0.797910,0.281338,0.614031,-0.313709,0.902535,0.254529,0.363266,-0.341350,0.773195,0.266627,0.618746,-0.344430,0.868730,0.252722,0.371768,-0.348509,0.785167,0.262773,0.611814,-0.348515,0.870227,0.258794,0.376721,-0.321762,0.790008,0.267807,0.607969,-0.322130,0.879525,0.540377,0.424380,0.006588,0.999756,0.539999,0.511364,-0.006799,0.999773,0.633458,0.411769,0.047426,0.800943,0.634539,0.536289,-0.015924,0.818223,0.730220,0.402768,0.133792,0.916165,0.731858,0.558863,0.031989,0.937815,0.746561,0.411196,0.134307,0.668578,0.748723,0.550193,0.030919,0.675839,0.758665,0.374212,0.033505,0.889232,0.759578,0.584223,-0.073195,0.895459
8,0.367542,0.475324,-0.229091,0.994903,0.359512,0.462633,-0.224288,0.985375,0.359574,0.457249,-0.224630,0.983108,0.359938,0.451576,-0.224629,0.987908,0.360643,0.482610,-0.226002,0.990809,0.361556,0.488779,-0.226369,0.990897,0.362431,0.494241,-0.226578,0.992840,0.365076,0.445124,-0.165081,0.985819,0.366852,0.502561,-0.166971,0.982525,0.376469,0.461445,-0.205466,0.972008,0.376746,0.482134,-0.209089,0.975291,0.404644,0.402365,-0.138360,0.997654,0.407904,0.534526,-0.150395,0.995916,0.336579,0.367107,-0.224435,0.822877,0.348350,0.580124,-0.233914,0.832898,0.270252,0.363843,-0.296975,0.794597,0.281328,0.613556,-0.280559,0.899499,0.254530,0.361532,-0.320910,0.768767,0.266469,0.618460,-0.305962,0.863860,0.252703,0.370647,-0.329013,0.780982,0.262541,0.611129,-0.309354,0.865497,0.258792,0.375821,-0.303764,0.785977,0.267525,0.607187,-0.288257,0.874425,0.540064,0.423155,0.005131,0.999754,0.539923,0.510589,-0.005351,0.999772,0.633487,0.410994,0.038059,0.799994,0.634537,0.535573,-0.013923,0.822268,0.730343,0.402081,0.114600,0.914750,0.732285,0.559012,0.029607,0.939572,0.746781,0.410867,0.115125,0.664829,0.749998,0.550303,0.028426,0.681756,0.758724,0.373723,0.029979,0.886725,0.760117,0.592031,-0.065266,0.897415
9,0.367561,0.474771,-0.198360,0.994923,0.359838,0.462405,-0.190969,0.985539,0.359929,0.457014,-0.191280,0.983270,0.360259,0.451348,-0.191265,0.988084,0.360898,0.482150,-0.192383,0.990862,0.361755,0.488517,-0.192724,0.990916,0.362595,0.494169,-0.192887,0.992863,0.365265,0.444963,-0.134401,0.985966,0.366920,0.502669,-0.137411,0.982514,0.376564,0.460846,-0.173677,0.972260,0.376785,0.481610,-0.176948,0.975407,0.404645,0.402433,-0.118646,0.997659,0.407866,0.534603,-0.117546,0.995874,0.336570,0.366994,-0.198217,0.826571,0.347831,0.580537,-0.193751,0.839038,0.270307,0.363238,-0.272517,0.797604,0.281301,0.613203,-0.241951,0.899365,0.254622,0.360977,-0.296257,0.770704,0.266411,0.617743,-0.266105,0.862703,0.252725,0.370097,-0.303491,0.782820,0.262480,0.610043,-0.269275,0.864406,0.258849,0.375319,-0.279038,0.787697,0.267477,0.606194,-0.249417,0.872869,0.540031,0.423066,0.004174,0.999758,0.539925,0.510100,-0.004400,0.999775,0.633509,0.410422,0.026773,0.805656,0.634770,0.534981,-0.013842,0.828247,0.730357,0.401487,0.099000,0.916147,0.733173,0.559433,0.028016,0.941649,0.746780,0.409789,0.099393,0.668660,0.751340,0.550806,0.027006,0.689438,0.758641,0.373400,0.020524,0.888415,0.760800,0.592449,-0.062141,0.900723
